orange_area_fraction,deltaE_from_background,log10_seconds,seconds
0.03101,8.3063,2.26276,183.1
0.00049,0.0082,1.01397,10.3
0.00464,12.1326,1.35204,22.5
0.91968,10.1116,4.43629,27307.9
0.49976,11.4803,3.30603,2023.2
0.10791,12.2594,2.46747,293.4
0.18115,11.519,2.81642,655.3
0.50635,7.4507,4.09165,12349.4
0.06714,13.6743,2.16056,144.7
0.44727,9.2268,3.05955,1147.0
0.84692,9.058,3.40073,2516.1
0.12476,9.1931,2.20149,159.0
0.02979,11.6029,2.79947,630.2
0.66162,10.774,3.6987,4996.9
0.40698,9.9209,4.22452,16769.3
0.26147,5.9395,1.45495,28.5
1.0,0.0,4.31307,20562.2
0.17578,3.5937,0.92201,8.4
0.60669,8.0718,3.65388,4506.9
0.82593,8.0152,3.86412,7313.4
0.0166,6.1497,1.40272,25.3
0.58545,6.6826,2.43343,271.3
0.99927,0.0116,3.88139,7610.2
0.0,0.0,0.95523,9.0
0.48291,7.3457,3.199,1581.2
0.43604,10.1479,3.80017,6312.1
0.09912,15.3563,2.7772,598.7
0.35229,11.0023,3.55477,3587.3
0.0,0.0,1.73026,53.7
0.0,0.0,1.62833,42.5
0.00757,10.0181,2.22967,169.7
0.0,0.0,1.5585,36.2
0.72192,6.9603,2.16733,147.0
0.5376,9.2015,4.36679,23269.6
0.07715,10.5694,2.9976,994.5
0.00928,14.4613,2.14543,139.8
0.04175,14.9651,1.89503,78.5
0.9353,16.435,4.38109,24048.8
0.12744,9.2555,2.52686,336.4
1.0,0.0,4.48468,30526.7
0.29175,11.4027,2.7864,611.5
0.40674,7.2304,2.80702,641.2
0.22021,9.8489,4.17834,15078.0
0.97656,10.6294,3.61658,4136.0
0.31201,8.4022,3.02434,1057.6
0.06714,13.1776,2.46173,289.6
0.73584,7.1327,4.1113,12921.0
0.15991,9.8831,2.40692,255.2
0.99927,0.0126,4.27413,18798.7
0.02246,9.7867,1.15412,14.3
0.0271,15.4089,2.47396,297.8
0.99365,10.0743,2.80099,632.4
1.0,0.0,4.37707,23827.0
0.39307,6.0994,1.82004,66.1
0.64233,11.283,3.84772,7042.4
0.19043,12.8046,3.37438,2368.0
0.88892,10.8842,3.52276,3332.4
0.19189,12.0074,3.20323,1596.7
0.99976,0.0047,4.45241,28340.5
0.01904,10.9877,2.11845,131.4
0.52661,7.5093,2.35808,228.1
0.00757,16.9704,1.64437,44.1
0.0,0.0,1.08832,12.3
0.00098,19.4906,1.68089,48.0
0.64404,10.1086,4.24748,17679.7
0.75708,12.2908,3.97241,9384.4
0.0,0.0,1.31373,20.6
0.96973,8.1133,3.10882,1284.8
0.20068,9.0532,2.6537,450.5
0.56519,6.4249,3.0756,1190.1
0.21216,13.8705,3.31156,2049.1
0.01807,22.9356,2.02338,105.5
0.62012,15.4316,4.41511,26008.1
0.04712,11.4608,2.6049,402.6
0.62256,9.4643,3.19768,1576.4
0.25952,10.6302,3.22371,1673.8
0.00244,20.2718,1.57488,37.6
0.00098,15.7805,1.1291,13.5
0.53003,7.3235,2.40645,254.9
0.85962,12.4747,3.69425,4946.0
0.76147,10.219,3.88127,7608.0
0.28931,9.8443,3.5699,3714.5
0.92993,5.156,1.31665,20.7
0.3728,11.0791,4.23977,17368.8
0.64429,7.5449,3.8331,6809.3
0.96899,13.6302,4.10948,12867.2
0.13574,8.8653,2.81483,652.9
0.84741,11.8727,4.2481,17705.2
0.47119,5.6106,1.07352,11.8
0.0,0.0,1.01374,10.3
0.0,0.0,0.97694,9.5
0.00488,22.9217,1.82651,67.1
0.35254,6.593,1.81117,64.7
0.57739,3.2076,1.58808,38.7
0.27588,9.869,2.97467,943.3
0.00586,9.1053,1.04551,11.1
0.99878,8.3076,3.0599,1147.9
0.0,0.0,1.50956,32.3
0.10522,14.8002,3.37951,2396.1
0.17407,4.8875,0.98008,9.6
0.18896,10.1129,2.03767,109.1
0.99365,14.4337,4.33105,21431.4
0.12695,11.1913,2.86997,741.3
0.24512,15.6444,3.86799,7378.9
0.38232,12.7472,3.307,2027.7
0.49561,6.9018,3.13429,1362.4
0.15601,13.3728,1.60178,40.0
1.0,0.0,3.00148,1003.4
0.23926,3.1266,1.04807,11.2
0.76807,12.2424,3.83174,6788.0
1.0,0.0,4.41043,25729.6
0.93896,9.8881,4.02297,10543.1
0.00024,0.0035,1.08834,12.3
0.0,0.0,2.14029,138.1
0.43066,4.5769,2.06482,116.1
0.00366,8.818,1.31487,20.6
0.81763,7.3408,3.19224,1556.8
0.20532,15.7093,3.81637,6552.0
0.87598,6.6445,2.04918,112.0
0.39209,10.1381,4.05512,11353.1
0.97803,14.7498,3.81516,6533.8
0.99121,10.6454,1.37486,23.7
0.88232,9.0546,3.70459,5065.1
0.28809,11.6639,4.12749,13411.9
0.00391,18.4875,1.62381,42.1
0.21948,10.4642,2.99872,997.1
0.19019,10.8137,3.23658,1724.2
0.71582,7.3167,3.12912,1346.2
0.0,0.0,1.2547,18.0
0.79785,10.244,3.31856,2082.4
0.43164,8.3096,3.21175,1628.4
0.25293,13.5841,3.91292,8183.1
0.26367,10.6705,3.83849,6894.3
0.09399,13.8199,2.0983,125.4
0.07935,13.8431,3.54088,3474.4
0.51807,8.7494,4.07142,11787.6
1.0,0.0,4.16522,14629.1
0.01587,15.922,1.49313,31.1
0.0,0.0,1.00064,10.0
0.21143,13.6584,3.28063,1908.2
0.30835,7.0855,1.68735,48.7
0.98999,6.704,2.96244,917.2
0.99976,0.006,4.35466,22628.8
1.0,0.0,2.28883,194.5
0.08057,14.5195,1.82653,67.1
0.3269,6.3908,2.57082,372.2
0.17969,14.9769,3.30414,2014.4
0.16895,7.5374,1.27243,18.7
0.27124,7.7578,2.29345,196.5
0.04761,5.6688,1.3916,24.6
0.41528,9.5639,3.32315,2104.5
0.82251,13.2245,3.93727,8655.2
0.02197,11.037,2.27982,190.5
0.87207,6.6755,2.26108,182.4
0.20898,12.0386,2.87408,748.3
0.98682,5.5363,1.68874,48.8
1.0,0.0,1.80693,64.1
0.23462,8.7893,2.10811,128.3
0.21436,9.1367,2.57416,375.1
0.00684,12.3231,1.20094,15.9
0.6792,9.8665,3.65298,4497.6
0.1709,10.3756,3.0185,1043.5
0.00903,17.6789,1.99794,99.5
0.08862,8.4474,1.18638,15.4
0.28125,11.2789,3.69115,4910.8
0.11523,8.4247,1.38195,24.1
0.98682,5.6943,1.38972,24.5
0.99731,10.4645,1.38051,24.0
0.03906,4.7247,1.19996,15.8
0.99146,11.1981,4.21433,16380.8
0.41235,7.6387,1.8867,77.0
0.80078,5.8208,2.02247,105.3
1.0,0.0,3.94546,8819.9
0.79834,10.1184,3.1678,1471.6
0.0188,15.9879,1.58676,38.6
0.37329,8.7941,2.49156,310.1
0.72241,8.4866,4.13225,13559.6
0.0791,7.8008,2.27441,188.1
1.0,0.0,3.50009,3162.9
0.10645,7.163,1.25675,18.1
0.26001,11.7748,3.56016,3632.1
0.61011,10.748,3.73971,5491.8
0.36963,12.9393,3.91979,8313.6
0.17993,16.5709,3.36609,2323.2
0.97266,9.186,2.25746,180.9
0.99951,0.0021,1.13767,13.7
1.0,0.0,2.79829,628.5
0.90967,6.827,3.67025,4680.1
0.00806,15.7505,1.60026,39.8
0.02246,15.8098,1.87571,75.1
0.30859,7.0152,2.86165,727.2
0.99927,0.009,3.6369,4334.2
0.6958,7.3462,4.17851,15083.8
0.8186,6.953,1.36245,23.0
0.84692,4.6628,1.57627,37.7
0.60352,9.2925,3.82397,6667.6
0.62036,8.6455,3.25766,1809.9
0.99976,0.0034,3.53696,3443.2
0.98242,17.6209,4.54451,35035.4
1.0,0.0,4.33411,21583.1
0.11963,10.9399,3.98284,9612.6
0.9978,15.9047,3.74206,5521.5
0.03003,11.4371,2.34618,221.9
0.17847,11.0895,3.24564,1760.5
0.07495,12.9666,1.57691,37.7
0.61719,12.3847,3.67768,4760.9
0.03125,11.9052,3.6711,4689.2
0.16113,14.5147,3.53813,3452.5
0.18433,12.2146,2.52804,337.3
0.99683,11.4546,2.28466,192.6
0.67505,5.7898,2.4366,273.3
0.55664,3.2555,1.02489,10.6
0.72168,8.998,3.98757,9717.9
0.06128,12.0852,2.88448,766.4
0.19702,8.5476,2.31878,208.3
1.0,0.0,2.90516,803.8
0.99658,9.8119,3.5394,3462.5
0.94189,6.259,2.29665,198.0
1.0,0.0,3.9376,8661.6
0.35327,13.4709,4.26208,18284.6
0.01636,8.2185,2.31846,208.2
0.00024,0.0028,1.40656,25.5
0.99976,0.0043,3.6809,4796.2
1.0,0.0,4.53054,33926.8
0.22949,3.6074,1.44372,27.8
0.74805,9.72,3.50665,3211.0
0.98389,13.7174,3.91817,8282.7
0.44263,12.4201,4.26613,18455.9
0.03003,11.7586,1.35383,22.6
0.93628,5.1481,1.23849,17.3
0.83398,16.2291,4.51199,32508.3
0.27832,5.9976,1.32963,21.4
0.98071,11.5748,1.54901,35.4
0.89844,9.1212,3.00352,1008.1
0.57715,5.2667,2.53342,341.5
0.43848,9.5862,3.64443,4409.9
0.0332,13.2449,1.59924,39.7
0.53394,8.5455,4.24369,17526.2
0.13306,7.9985,1.69655,49.7
0.47998,11.0054,3.71282,5162.0
0.00146,13.8479,1.15006,14.1
0.00928,15.6144,2.63253,429.1
0.01587,9.2322,1.02203,10.5
0.11304,17.038,2.04951,112.1
0.41602,8.689,2.04373,110.6
0.71265,10.3116,3.53248,3407.9
0.00024,0.0048,2.56537,367.6
0.00073,0.0158,1.1105,12.9
0.99609,23.4322,4.53936,34622.4
0.646,8.3185,4.1497,14115.5
0.96948,13.6879,4.25062,17808.0
0.12476,9.1291,1.80388,63.7
0.0188,12.5839,2.34286,220.2
0.73633,9.8287,1.73302,54.1
0.01416,12.9782,1.3594,22.9
0.979,9.9183,1.02373,10.6
1.0,0.0,2.74188,551.9
0.08057,8.9564,1.35292,22.5
0.95166,4.167,1.54717,35.3
0.30054,11.672,4.04659,11132.4
0.43677,6.0187,2.67213,470.0
0.15405,9.0498,1.5742,37.5
1.0,0.0,3.35025,2240.0
0.96167,9.9385,1.87435,74.9
0.99976,0.0037,2.8281,673.1
0.55273,8.8457,1.93678,86.5
0.5083,8.3575,2.78874,614.8
0.3396,8.9622,3.19926,1582.2
0.87695,5.9338,2.86197,727.7
0.0,0.0,2.34832,223.0
0.6438,11.7532,3.7921,6195.8
0.93237,9.6778,4.09394,12414.9
1.0,0.0,1.55837,36.2
0.22314,5.5977,1.40105,25.2
0.23877,3.9459,1.3166,20.7
0.98926,19.041,4.48177,30322.5
0.78003,12.0017,4.34292,22025.4
0.41016,7.6753,1.74577,55.7
0.95825,15.5261,4.44637,27949.1
0.01929,11.9436,1.66229,46.0
0.2229,9.0932,2.75335,566.7
0.08594,10.9102,2.72014,525.0
1.0,0.0,4.24562,17604.3
0.00269,6.9945,1.05115,11.2
0.07593,12.6944,2.05513,113.5
0.43384,8.8113,3.09493,1244.3
0.04126,9.1914,1.14566,14.0
0.00293,18.1647,1.76726,58.5
0.04004,16.6833,2.60207,400.0
0.81689,10.9199,4.12105,13214.4
0.94824,12.9363,3.68304,4819.9
0.74683,13.6092,3.93153,8541.5
0.8728,11.1923,3.68344,4824.4
0.12646,11.6903,3.48854,3080.0
1.0,0.0,4.0072,10167.2
0.54126,9.5389,3.39267,2469.8
0.16992,12.3969,3.5907,3896.7
0.98706,9.829,2.00506,101.2
0.00903,15.1794,1.51552,32.8
0.677,10.328,3.66684,4643.4
0.2688,8.9788,1.50893,32.3
0.99854,11.946,4.26206,18283.4
0.41943,9.256,3.08275,1209.9
0.19238,13.4513,2.10658,127.8
0.9978,13.3155,4.32485,21127.4
0.01514,10.7457,1.46981,29.5
0.22949,10.4442,2.78254,606.1
1.0,0.0,1.23756,17.3
0.99121,16.9872,4.43,26915.5
0.34888,10.6504,3.00506,1011.7
0.90112,9.6453,3.83905,6903.3
0.95532,9.5122,1.93301,85.7
0.65015,8.9673,3.83222,6795.5
0.13428,14.2746,3.47072,2956.1
0.14575,16.3919,3.2546,1797.2
0.98364,18.1596,4.3757,23751.9
0.1001,16.5518,2.48673,306.7
0.39746,8.35,2.4195,262.7
0.39453,11.2061,3.43156,2701.2
0.58496,9.447,3.95372,8989.3
0.56836,8.2412,2.12719,134.0
0.73267,10.6039,3.34949,2236.1
0.39111,8.5899,1.66675,46.4
0.65381,9.7246,2.91857,829.0
0.77002,8.1561,3.71304,5164.6
0.00635,10.0027,1.1417,13.9
0.7644,8.8731,3.56205,3648.0
0.18262,3.9735,0.95947,9.1
1.0,0.0,4.40415,25359.8
0.0708,13.1586,2.61524,412.3
0.06885,13.876,2.39751,249.8
0.71997,6.0814,3.53503,3427.9
0.92212,5.978,2.81481,652.8
0.18848,12.8134,3.57304,3741.4
0.0,0.0,1.21273,16.3
0.99951,0.0055,2.95909,910.1
0.05591,11.0639,2.94198,874.9
0.88916,9.554,4.3083,20337.6
0.00757,12.8523,1.04778,11.2
0.09204,11.9805,2.55734,360.9
0.66846,7.1773,3.20853,1616.3
0.01392,16.0984,2.91509,822.4
0.0,0.0,1.17402,14.9
0.15796,11.4972,3.07028,1175.7
0.98706,9.2678,1.71482,51.9
0.6333,7.2613,1.61747,41.4
0.74097,8.5717,4.11313,12975.8
0.40869,7.1458,1.62585,42.3
0.99316,12.4325,2.56271,365.4
0.98706,7.4546,3.64405,4406.0
0.65332,7.6662,3.48706,3069.5
0.38257,7.3798,2.92499,841.4
0.49463,12.7915,3.8514,7102.3
0.11987,10.4902,2.60482,402.5
0.16406,9.4896,3.16949,1477.4
0.98853,13.335,3.89477,7848.1
0.40747,11.5412,3.3803,2400.5
0.25439,12.9133,3.24783,1769.4
0.71704,4.1891,2.38676,243.6
0.0957,13.2015,2.94276,876.5
0.07886,12.4211,2.35006,223.9
1.0,0.0,3.62215,4189.4
0.15259,7.208,2.29288,196.3
0.41406,6.4536,2.60776,405.3
0.4707,9.6354,3.66294,4601.9
0.11621,10.0621,2.74305,553.4
0.02344,14.5048,2.13799,137.4
0.99561,16.1528,3.92364,8387.6
0.01123,13.1607,2.29483,197.2
0.99756,10.095,3.98906,9751.4
0.99902,15.9102,3.77174,5912.1
0.25854,8.6934,2.53713,344.5
0.92188,10.2333,3.50743,3216.9
0.00122,13.6335,1.02872,10.7
0.02026,10.5156,2.32711,212.4
1.0,0.0,4.04607,11119.2
0.96216,6.4888,3.02027,1047.8
0.08057,10.7509,2.94095,872.9
0.99414,11.6369,3.33152,2145.5
0.19678,12.1126,3.37877,2392.0
0.10034,15.4682,3.0351,1084.2
0.23022,9.7275,2.43974,275.3
0.99878,4.997,1.57339,37.4
0.0354,16.9422,1.97217,93.8
0.01294,16.5695,1.9732,94.0
0.2644,8.9246,2.47669,299.7
0.92896,17.4481,4.55286,35716.1
0.25317,7.9305,2.19104,155.3
0.52563,6.0864,2.53746,344.7
0.89893,6.3115,2.26072,182.3
0.99146,10.1231,3.02717,1064.6
1.0,0.0,4.36596,23225.5
0.82227,10.3433,4.15106,14160.0
0.07324,8.2537,2.28086,190.9
0.04395,12.1194,1.87814,75.5
0.67114,8.9712,4.13399,13614.0
0.32593,8.1991,2.70717,509.5
0.30835,8.496,3.40752,2555.7
0.00073,0.011,1.17084,14.8
1.0,0.0,4.06881,11716.8
0.00293,24.4162,2.04642,111.3
0.12793,9.5505,2.7097,512.5
0.1897,8.6228,1.6265,42.3
0.07495,12.3466,2.43833,274.4
0.57251,8.9421,3.92813,8474.8
0.48755,10.6018,3.92641,8441.4
0.19873,9.3598,2.63351,430.0
0.32959,8.4762,3.70843,5110.1
0.04517,15.1077,2.57651,377.1
0.27612,7.2632,2.26704,184.9
0.0376,12.8521,2.89734,789.5
0.96362,10.4271,1.63863,43.5
0.02124,14.1577,2.05956,114.7
1.0,0.0,3.48419,3049.2
0.67236,7.8272,3.71794,5223.3
0.0,0.0,1.11026,12.9
0.33447,13.2697,3.58026,3804.2
0.4707,13.4183,3.88934,7750.6
0.948,6.9435,2.52948,338.4
0.1145,6.8989,1.13125,13.5
0.85376,9.3115,3.39792,2499.9
0.00659,20.397,1.80238,63.4
0.20117,11.9377,3.25341,1792.3
1.0,0.0,2.27897,190.1
0.61035,9.0401,3.23078,1701.3
0.64404,8.6708,1.84611,70.2
0.02173,15.5438,2.64398,440.5
0.12036,9.3152,2.81984,660.4
0.37671,9.692,3.20832,1615.5
0.04297,14.6868,1.64531,44.2
0.9834,15.8982,4.41767,26161.8
0.0,0.0,1.95937,91.1
0.0188,16.3402,2.02105,105.0
0.57153,7.342,1.83945,69.1
0.08936,7.5015,1.1496,14.1
0.49854,7.7461,2.44812,280.6
0.80737,11.3465,3.72277,5281.7
0.08862,11.2106,3.49529,3128.2
0.03296,15.1528,1.61756,41.5
0.78931,5.704,1.40333,25.3
0.88745,6.0788,2.07733,119.5
0.43848,10.9655,3.70969,5124.9
0.15723,9.4367,2.68614,485.4
0.96533,12.1631,4.27568,18865.9
0.91455,8.1406,3.301,1999.9
0.33008,9.3335,3.17139,1483.9
0.81226,7.9682,3.70763,5100.7
0.90308,11.2677,3.64394,4405.0
0.06934,10.5577,2.1592,144.3
0.00024,0.0044,1.842,69.5
0.18896,9.444,2.50181,317.6
0.12402,14.3988,2.69041,490.2
0.05005,10.4183,1.42083,26.4
0.02881,15.9709,2.51537,327.6
0.24585,11.601,3.2405,1739.8
0.46387,6.7048,1.39888,25.1
0.08496,7.7009,1.40737,25.5
0.02197,8.187,1.53773,34.5
0.1123,10.8294,1.93816,86.7
1.0,0.0,4.41642,26086.7
0.0083,9.8604,0.99731,9.9
0.16846,5.9717,1.57433,37.5
0.01587,12.8678,1.50604,32.1
0.07617,15.3135,2.63598,432.5
0.48242,6.354,0.95815,9.1
0.02612,13.6569,2.57689,377.5
0.69214,5.3578,1.49828,31.5
0.125,10.2264,1.88814,77.3
0.80029,10.7674,3.79804,6281.2
0.03711,17.1378,1.57553,37.6
0.96655,10.9568,3.15759,1437.5
0.25269,9.5992,2.38744,244.0
0.30518,7.7174,2.42866,268.3
0.26733,11.9801,3.8872,7712.6
0.08545,6.3942,1.49095,31.0
0.41406,13.3106,4.27797,18965.5
0.99927,0.0107,4.1672,14696.1
1.0,0.0,3.34461,2211.1
0.30762,6.0066,1.08373,12.1
0.39209,11.2092,3.3263,2119.8
1.0,0.0,3.09629,1248.2
0.19873,12.4909,3.72412,5298.1
0.02222,19.4832,1.68426,48.3
0.78687,12.2911,4.3859,24316.6
0.45557,9.7445,4.14056,13821.5
0.00391,12.9297,1.32086,20.9
0.78687,6.0836,2.05459,113.4
0.98413,2.726,1.02162,10.5
0.58594,10.9081,3.93872,8683.9
1.0,0.0,4.24613,17624.9
0.85449,14.2445,4.51907,33042.5
0.52222,9.342,3.13858,1375.9
0.61719,8.7454,3.33608,2168.1
0.70337,10.0138,3.38145,2406.9
0.8728,7.3602,2.98596,968.2
1.0,0.0,4.38249,24126.4
0.25024,10.8696,3.12374,1329.6
0.86914,7.0828,2.12957,134.8
0.07446,13.9577,2.77674,598.1
0.0,0.0,0.97127,9.4
0.25952,12.3113,3.54848,3535.7
0.62573,9.6784,3.43813,2742.4
0.26929,6.825,2.44128,276.2
0.37915,9.814,4.01373,10321.2
0.97119,10.6835,3.66319,4604.6
0.80371,7.785,2.13307,135.9
0.0,0.0,1.18621,15.4
0.08862,7.9973,1.38613,24.3
0.24951,8.0065,1.57628,37.7
0.08057,12.138,2.01337,103.1
0.31177,8.0675,2.53796,345.1
0.81348,10.2138,4.29326,19645.3
0.86743,5.4971,1.92021,83.2
0.30103,12.1844,4.18581,15339.6
0.77319,11.0625,3.38896,2448.9
0.78638,11.4252,4.02108,10497.4
0.05273,13.3321,2.37626,237.8
0.0,0.0,0.91506,8.2
0.93579,13.102,3.77805,5998.6
0.99854,4.6442,1.79987,63.1
0.8728,6.5894,1.4236,26.5
0.95166,8.5114,3.8238,6665.0
0.27124,10.9884,3.41039,2572.7
0.01318,16.0904,1.67909,47.8
0.99756,12.5344,1.88062,76.0
0.96851,12.4482,4.33426,21590.3
0.22949,7.5025,1.88412,76.6
0.39893,9.2432,3.46913,2945.3
0.00049,0.0065,1.37638,23.8
0.52783,8.7761,3.88059,7596.1
0.00879,9.7255,1.33267,21.5
0.08423,10.0821,2.7883,614.2
0.0022,9.5097,1.03175,10.8
1.0,0.0,2.91264,817.8
0.42969,10.1369,3.99598,9907.8
0.01831,10.33,1.21142,16.3
0.93066,6.243,1.90501,80.4
0.99438,12.2631,3.69668,4973.7
0.52832,8.88,3.1246,1332.3
0.07202,15.0192,2.0458,111.1
0.16211,10.2442,3.20061,1587.1
0.03857,14.8173,2.56424,366.6
0.82129,10.6562,4.05346,11310.0
0.36646,9.4255,1.97326,94.0
0.24805,13.6075,3.67124,4690.7
0.98853,11.1571,3.22534,1680.1
0.09619,14.2933,3.60803,4055.4
0.00171,16.8166,2.28496,192.7
0.37769,11.7688,3.55138,3559.4
0.36743,11.2655,3.45459,2848.3
0.70654,7.2183,2.31867,208.3
0.09766,4.5124,0.99973,10.0
0.96582,12.0409,4.42082,26352.2
0.97144,14.843,3.51002,3236.1
0.06128,11.4789,1.65104,44.8
0.1333,15.4515,3.57288,3740.1
0.92725,9.1897,1.92118,83.4
0.97217,9.8052,2.61749,414.5
0.29834,7.7563,4.04444,11077.6
0.72827,5.1801,2.53999,346.7
0.15503,12.4874,1.95524,90.2
0.19629,10.3768,2.01911,104.5
0.0,0.0,1.18445,15.3
0.28174,6.4435,1.70499,50.7
0.70703,8.3866,1.8935,78.3
0.92432,5.1715,1.53498,34.3
0.66992,4.6949,1.13348,13.6
0.09399,11.7795,2.60472,402.5
0.79858,8.0469,1.68632,48.6
0.21948,11.9681,3.60198,3999.2
0.9856,16.3868,4.27328,18762.0
0.7395,4.4272,1.90036,79.5
0.16455,11.6136,2.99363,985.5
0.6145,6.9841,2.75427,567.9
0.00879,11.5232,1.17748,15.0
0.83667,4.56,1.35928,22.9
0.35962,10.0067,4.13538,13657.7
0.0647,13.3722,2.63527,431.8
0.95508,13.378,3.8425,6958.3
0.64844,4.765,1.14632,14.0
1.0,0.0,3.07607,1191.4
0.64307,11.6283,4.06426,11594.7
0.80786,9.2049,4.07067,11767.0
0.00952,9.1112,0.924,8.4
0.87402,6.7282,2.80904,644.2
0.97266,7.0719,2.25114,178.3
0.36255,12.0341,3.67969,4782.8
0.06274,5.4186,1.17057,14.8
0.1394,14.4043,1.87092,74.3
0.84961,12.685,3.87185,7444.7
0.61353,8.4241,2.61848,415.4
0.10864,12.9089,2.55854,361.9
1.0,0.0,4.44144,27633.8
0.75049,6.6553,2.07172,118.0
0.00415,9.9488,1.05551,11.4
0.31396,6.3985,2.33588,216.7
0.92334,3.953,1.4634,29.1
0.04297,9.3535,1.20226,15.9
0.35474,9.0149,2.9776,949.7
0.99976,0.0053,4.3867,24361.5
0.99634,7.9314,3.01979,1046.6
0.38672,10.6668,3.26714,1849.9
0.32349,10.0095,2.08537,121.7
0.00342,19.8999,2.98952,976.2
0.37744,10.074,3.6512,4479.2
0.18848,11.4355,3.05587,1137.3
1.0,0.0,3.83581,6851.9
0.43066,9.6263,2.91408,820.5
0.6394,4.5815,1.62695,42.4
0.50928,5.7324,3.03191,1076.2
0.71118,4.9728,2.69658,497.3
0.39893,5.0557,1.50929,32.3
0.1709,10.8698,3.16503,1462.3
0.93872,14.179,3.88762,7720.1
0.00171,12.5686,1.39659,24.9
0.0791,10.1636,2.89389,783.2
0.68652,11.8075,3.58341,3831.8
0.1123,8.4738,2.3754,237.4
0.08496,11.6835,1.88963,77.6
0.0,0.0,2.26311,183.3
0.99121,11.5636,2.88203,762.1
0.64502,10.659,3.41161,2579.9
0.21509,11.3765,2.94588,882.8
0.81445,5.3498,1.29408,19.7
0.66968,9.6209,3.891,7780.4
0.99951,0.0106,4.27815,18973.4
0.06372,7.1418,1.27313,18.8
0.00928,12.1712,1.81464,65.3
0.0,0.0,1.53758,34.5
0.73022,8.7415,4.00523,10121.3
0.75732,7.656,4.22853,16925.1
0.00757,6.3254,1.06483,11.6
